content_type,idle_time,reading_time,pause_count,seek_count,tab_switches,total_scrolls,video_watched_percentage,is_video_playing,engagement_label
video,117,194,1,5,2,0,8.7,False,0.0
video,168,234,0,4,3,0,38.3,False,0.0
non_video,28,47,0,0,2,1,0.0,False,0.0
non_video,75,122,0,0,3,1,0.0,False,0.0
non_video,28,47,0,0,1,4,0.0,False,0.0
video,62,107,2,6,2,0,15.1,True,0.0
video,98,1075,5,1,1,0,87.0,False,1.0
non_video,34,147,0,0,1,8,0.0,False,0.5
video,93,365,3,3,1,0,65.0,False,0.5
non_video,58,328,0,0,0,11,0.0,False,1.0
video,192,255,1,3,1,0,29.0,False,0.0
non_video,60,237,0,0,2,8,0.0,False,0.5
non_video,21,102,0,0,1,10,0.0,False,0.5
non_video,30,72,0,0,1,4,0.0,False,0.5
non_video,64,279,0,0,1,8,0.0,False,0.5
video,81,286,4,3,2,0,73.9,False,0.5
video,171,614,2,1,1,0,49.5,False,0.5
non_video,113,167,0,0,4,2,0.0,False,0.0
non_video,24,189,0,0,0,17,0.0,False,1.0
non_video,71,426,0,0,0,14,0.0,False,1.0
non_video,12,516,0,0,0,11,0.0,False,1.0
video,210,1501,3,0,0,0,86.3,True,1.0
non_video,97,232,0,0,0,4,0.0,False,0.5
non_video,42,430,0,0,1,17,0.0,False,1.0
video,129,799,4,1,0,0,91.3,True,1.0
video,126,206,1,3,2,0,26.7,True,0.0
non_video,82,116,0,0,4,1,0.0,False,0.0
non_video,60,187,0,0,2,10,0.0,False,0.5
non_video,53,512,0,0,1,8,0.0,False,1.0
video,131,256,0,9,2,0,14.7,True,0.0
video,24,486,2,0,0,0,86.2,False,1.0
non_video,46,523,0,0,0,12,0.0,False,1.0
video,56,620,7,2,0,0,93.4,False,1.0
non_video,101,171,0,0,3,0,0.0,False,0.0
video,214,1317,6,1,1,0,93.1,False,1.0
video,180,1328,5,0,0,0,81.4,True,1.0
video,195,459,2,1,0,0,69.3,True,0.5
non_video,49,98,0,0,4,0,0.0,False,0.0
non_video,110,269,0,0,0,10,0.0,False,0.5
non_video,37,461,0,0,1,9,0.0,False,1.0
non_video,27,500,0,0,0,8,0.0,False,1.0
video,340,848,2,3,0,0,75.1,False,0.5
non_video,13,535,0,0,0,18,0.0,False,1.0
non_video,20,72,0,0,2,4,0.0,False,0.5
video,104,1244,2,2,0,0,91.6,True,1.0
video,189,238,0,5,1,0,39.0,False,0.0
video,58,75,1,8,3,0,5.2,False,0.0
video,80,748,4,2,0,0,90.5,True,1.0
video,17,669,3,1,0,0,98.3,True,1.0
non_video,72,137,0,0,4,2,0.0,False,0.0
non_video,7,251,0,0,1,17,0.0,False,1.0
video,132,197,1,5,3,0,24.4,True,0.0
non_video,86,244,0,0,1,11,0.0,False,0.5
non_video,96,582,0,0,1,11,0.0,False,1.0
non_video,50,126,0,0,1,7,0.0,False,0.5
video,60,226,4,3,0,0,47.9,False,0.5
non_video,24,31,0,0,2,1,0.0,False,0.0
video,29,1096,6,2,0,0,90.6,True,1.0
non_video,1,332,0,0,0,9,0.0,False,1.0
non_video,33,68,0,0,3,4,0.0,False,0.0
video,180,235,2,9,2,0,32.9,True,0.0
non_video,63,595,0,0,1,12,0.0,False,1.0
video,153,881,2,0,1,0,88.7,True,1.0
video,67,1361,7,0,0,0,84.9,False,1.0
video,191,497,1,4,2,0,40.2,False,0.5
non_video,39,459,0,0,1,19,0.0,False,1.0
video,100,1444,4,0,1,0,80.0,True,1.0
non_video,6,134,0,0,0,16,0.0,False,1.0
non_video,20,491,0,0,0,12,0.0,False,1.0
non_video,61,146,0,0,0,7,0.0,False,0.5
non_video,47,125,0,0,1,10,0.0,False,0.5
video,249,1588,7,1,1,0,83.5,False,1.0
non_video,57,137,0,0,4,2,0.0,False,0.0
video,83,145,1,5,3,0,7.9,True,0.0
video,137,1199,4,0,1,0,86.5,True,1.0
non_video,37,158,0,0,2,4,0.0,False,0.5
video,97,196,2,9,3,0,21.6,True,0.0
video,159,1548,7,0,1,0,97.8,False,1.0
non_video,72,166,0,0,3,0,0.0,False,0.0
video,109,201,2,4,3,0,19.9,True,0.0
non_video,29,44,0,0,1,1,0.0,False,0.0
video,165,791,2,1,2,0,74.1,False,0.5
video,21,611,2,1,0,0,97.2,True,1.0
non_video,77,139,0,0,4,4,0.0,False,0.0
video,166,277,0,6,4,0,12.4,False,0.0
non_video,94,552,0,0,1,12,0.0,False,1.0
video,249,1687,3,2,1,0,84.8,False,1.0
video,80,332,4,4,2,0,50.7,False,0.5
video,162,391,2,2,0,0,63.8,True,0.5
video,57,232,4,2,1,0,45.3,True,0.5
video,42,781,5,1,0,0,80.8,True,1.0
video,120,195,2,7,2,0,29.4,False,0.0
video,239,809,1,3,1,0,48.6,False,0.5
video,250,564,1,1,1,0,74.5,False,0.5
video,231,635,3,1,1,0,61.6,False,0.5
non_video,50,247,0,0,1,4,0.0,False,0.5
video,67,943,4,2,1,0,93.0,True,1.0
video,153,290,1,8,1,0,32.8,False,0.0
video,300,1679,5,2,1,0,98.7,False,1.0
non_video,3,517,0,0,1,15,0.0,False,1.0
non_video,107,251,0,0,1,9,0.0,False,0.5
non_video,9,249,0,0,0,15,0.0,False,1.0
video,56,190,2,3,2,0,42.3,True,0.5
video,256,619,1,3,1,0,62.2,False,0.5
video,81,304,3,4,1,0,40.7,True,0.5
non_video,44,86,0,0,1,4,0.0,False,0.0
non_video,90,287,0,0,1,11,0.0,False,0.5
non_video,15,387,0,0,1,11,0.0,False,1.0
video,75,164,0,4,1,0,29.7,True,0.0
video,50,195,1,3,0,0,63.9,True,0.5
video,53,412,7,1,1,0,99.6,False,1.0
non_video,79,129,0,0,2,3,0.0,False,0.0
video,215,283,1,4,1,0,22.2,True,0.0
video,108,150,0,8,1,0,36.8,False,0.0
non_video,31,70,0,0,3,0,0.0,False,0.0
non_video,113,172,0,0,3,4,0.0,False,0.0
non_video,47,92,0,0,4,4,0.0,False,0.0
video,203,1381,2,2,0,0,99.6,False,1.0
video,261,1425,7,1,1,0,96.2,True,1.0
non_video,20,381,0,0,0,18,0.0,False,1.0
non_video,34,333,0,0,0,14,0.0,False,1.0
non_video,56,274,0,0,2,4,0.0,False,0.5
video,141,1041,5,0,0,0,99.6,True,1.0
non_video,64,81,0,0,3,3,0.0,False,0.0
non_video,64,241,0,0,2,7,0.0,False,0.5
video,79,335,4,1,2,0,42.5,False,0.5
non_video,48,384,0,0,0,11,0.0,False,1.0
non_video,19,513,0,0,0,9,0.0,False,1.0
non_video,26,190,0,0,0,9,0.0,False,1.0
video,207,578,1,1,1,0,55.1,False,0.5
non_video,5,557,0,0,0,17,0.0,False,1.0
non_video,93,154,0,0,2,2,0.0,False,0.0
non_video,53,122,0,0,2,1,0.0,False,0.0
video,0,540,2,2,0,0,94.4,True,1.0
non_video,33,70,0,0,1,2,0.0,False,0.0
video,136,245,1,7,1,0,35.8,False,0.0
video,172,643,1,2,2,0,56.9,True,0.5
non_video,103,141,0,0,3,2,0.0,False,0.0
video,35,800,5,2,1,0,87.4,False,1.0
non_video,45,134,0,0,0,9,0.0,False,0.5
video,196,798,3,3,1,0,62.1,False,0.5
non_video,41,149,0,0,1,10,0.0,False,0.5
non_video,110,294,0,0,2,4,0.0,False,0.5
video,183,284,0,8,1,0,9.0,True,0.0
video,109,163,2,3,2,0,5.4,False,0.0
non_video,18,32,0,0,4,0,0.0,False,0.0
non_video,61,176,0,0,2,4,0.0,False,0.5
video,120,889,7,0,1,0,93.2,True,1.0
video,97,203,0,6,4,0,13.7,True,0.0
video,197,553,4,1,2,0,65.6,False,0.5
video,294,1591,3,1,0,0,96.9,True,1.0
non_video,57,258,0,0,0,10,0.0,False,0.5
non_video,9,519,0,0,1,13,0.0,False,1.0
video,103,503,1,1,0,0,45.3,True,0.5
video,145,293,1,7,2,0,10.7,False,0.0
non_video,74,567,0,0,0,10,0.0,False,1.0
video,190,261,2,6,3,0,25.8,True,0.0
video,20,1714,4,0,1,0,94.5,False,1.0
non_video,16,230,0,0,0,13,0.0,False,1.0
video,166,656,1,1,1,0,51.6,True,0.5
video,150,270,0,6,2,0,33.5,False,0.0
video,93,146,2,9,4,0,26.6,False,0.0
video,80,191,2,9,2,0,15.2,False,0.0
non_video,37,114,0,0,0,6,0.0,False,0.5
non_video,107,167,0,0,4,2,0.0,False,0.0
video,159,398,4,4,2,0,52.4,True,0.5
non_video,90,215,0,0,1,10,0.0,False,0.5
non_video,57,496,0,0,0,18,0.0,False,1.0
video,145,514,1,2,2,0,60.1,False,0.5
video,12,959,2,0,1,0,93.2,True,1.0
video,260,1519,5,0,1,0,83.8,False,1.0
non_video,30,81,0,0,2,4,0.0,False,0.5
video,38,81,2,4,1,0,19.1,True,0.0
non_video,76,182,0,0,2,4,0.0,False,0.5
video,60,279,4,3,1,0,63.7,True,0.5
non_video,36,80,0,0,3,3,0.0,False,0.0
non_video,35,318,0,0,1,18,0.0,False,1.0
